module_name,predicted_rank
LoRALinear_123464720605664,64
Conv1D_123464712726592,6
Conv1D_123464727739232,6
Conv1D_123464716273232,6
Conv1D_123464712731728,6
Conv1D_123464712730912,6
Conv1D_123464712726304,6
Conv1D_123464712729904,6
Conv1D_123464712729184,6
Conv1D_123464712728464,6
Conv1D_123464712726256,6
Conv1D_123464712725344,6
Conv1D_123464716545888,6
Conv1D_123464712730528,5
Conv1D_123464712726736,5
Conv1D_123464716130096,5
Conv1D_123464720232192,5
Conv1D_123464712731152,5
Conv1D_123464712725200,5
Conv1D_123464712730240,5
Conv1D_123464712729520,5
Conv1D_123464712728800,5
Conv1D_123464712728176,5
Conv1D_123464712727408,5
Conv1D_123464716135424,5
LayerNorm_123464712720928,3
Conv1D_123464712720400,4
LayerNorm_123464712726448,3
Conv1D_123464715986048,4
LayerNorm_123464712732640,3
Conv1D_123464717154208,4
LayerNorm_123464718390368,3
Conv1D_123464718547808,4
LayerNorm_123464716136528,4
Conv1D_123464716140464,4
LayerNorm_123464716136048,4
Conv1D_123464716275440,4
LayerNorm_123464721422224,4
Conv1D_123465964311312,4
LayerNorm_123464712725776,4
Conv1D_123464712731488,4
LayerNorm_123464712730816,4
Conv1D_123464712731872,4
LayerNorm_123464712731008,4
Conv1D_123464712731440,4
LayerNorm_123464712730672,4
Conv1D_123464712725680,4
LayerNorm_123464712724816,4
Conv1D_123464712717712,4
LayerNorm_123464712730384,4
Conv1D_123464712730192,4
LayerNorm_123464712730048,4
Conv1D_123464712729856,4
LayerNorm_123464712729664,4
Conv1D_123464712729472,4
LayerNorm_123464712729328,4
Conv1D_123464712729136,4
LayerNorm_123464712728944,4
Conv1D_123464712728752,4
LayerNorm_123464712728608,4
Conv1D_123464712728416,4
LayerNorm_123464712728224,4
Conv1D_123464712728128,4
LayerNorm_123464712727984,4
Conv1D_123464712726880,4
LayerNorm_123464712725104,4
Conv1D_123464712727360,4
LayerNorm_123464712718960,4
Conv1D_123464716684416,4
LayerNorm_123464720725680,4
Conv1D_123464717854256,4
LayerNorm_123464717853632,4
Conv1D_123464716547760,4
LayerNorm_123464716425920,4
Embedding_123464712727648,4
